INFO 2025-10-05 10:53:12,290 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-10-05 10:53:12,296 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-10-05 10:53:12,298 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-10-05 10:53:12,299 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-10-05 10:53:12,300 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-10-05 10:53:12,373 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-10-05 10:53:12,378 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-10-05 10:53:12,379 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-10-05 10:53:12,382 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-10-05 10:53:12,420 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-10-05 10:53:12,456 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-10-05 10:53:12,483 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-10-05 10:53:12,485 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2025-10-05 10:53:12,593 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-10-05 10:53:12,594 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-10-05 10:53:12,594 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-10-05 10:53:19,440 basehttp "GET /admin/accounts/user/add/ HTTP/1.1" 200 15838
INFO 2025-10-05 10:53:19,462 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 8525
INFO 2025-10-05 10:53:19,469 basehttp "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 200 663
INFO 2025-10-05 10:53:19,475 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-10-05 10:53:19,478 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-10-05 10:53:19,481 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-10-05 10:53:19,510 basehttp "GET /static/admin/js/unusable_password_field.js HTTP/1.1" 200 1480
INFO 2025-10-05 10:53:19,510 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11973
INFO 2025-10-05 10:53:51,019 basehttp "POST /admin/accounts/user/add/ HTTP/1.1" 200 16402
INFO 2025-10-05 10:53:51,052 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-10-05 10:54:26,998 basehttp "POST /admin/accounts/user/add/ HTTP/1.1" 302 0
